id,handlungsspielraum,unterstuetzung,ueberstunden,zufriedenheit
64,6.4,6.5,6,6.5
65,4.8,4.5,2,5.17
66,4.2,3.5,8,4.17
67,3.4,4.25,5,4.17
68,3.4,4.5,12,3.5
69,5.0,5.75,7,5.67
70,3.8,4.0,8,3.83
71,5.8,5.5,2,5.67
72,3.8,5.25,12,3.83
73,4.2,6.0,15,3.33
74,2.6,3.5,5,5.17
75,5.0,4.5,4,2.83
76,5.2,5.25,3,5.5
77,5.6,5.0,1,5.83
78,4.4,4.25,5,5.33
79,4.4,4.75,6,4.83
80,3.8,4.5,1,3.5
81,4.0,5.25,0,4.83
82,5.2,4.75,1,5.67
83,5.8,6.0,0,4.5
84,3.8,4.5,6,2.67
85,5.8,5.0,2,3.67
86,5.2,4.75,7,5.83
87,5.0,4.75,8,3.67
88,4.8,4.0,6,5.0
89,3.2,4.75,5,5.17
90,3.0,5.75,3,5.83
91,3.4,2.25,9,3.5
92,6.4,6.25,5,6.17
93,4.6,4.75,4,5.83
94,4.8,3.75,7,5.0
95,5.2,3.75,3,4.67
96,4.2,5.0,0,6.0
97,5.4,5.0,5,3.83
98,5.6,6.0,11,4.67
99,4.8,4.5,0,5.33
100,4.8,5.25,7,5.83
101,5.6,3.5,11,4.5
102,6.6,4.5,5,5.0
103,6.0,5.5,1,4.67
104,3.8,4.75,6,3.0
105,5.0,4.5,4,6.17
106,5.8,4.5,7,5.17
107,4.6,4.25,8,4.17
108,2.4,3.75,6,5.83
109,6.0,5.25,0,5.67
110,4.2,4.5,4,5.5
111,5.0,4.75,2,5.67
112,5.2,3.5,10,5.17
113,5.2,4.75,3,4.83
114,4.8,4.5,8,6.0
115,5.2,3.75,3,5.33
116,4.6,6.0,7,3.67
117,6.0,5.5,8,6.33
118,4.0,5.0,14,3.83
119,3.4,3.25,6,4.17
120,3.2,4.75,5,4.83
121,6.6,5.5,5,5.17
122,4.6,4.75,9,5.33
123,4.4,4.5,5,3.33
124,4.8,5.75,6,4.5
125,3.4,4.25,8,3.67
126,2.4,4.25,0,3.17
127,5.6,6.25,11,5.83
128,6.8,5.0,5,5.67
129,5.2,4.5,6,5.33
130,3.8,4.0,8,5.67
131,4.2,5.25,4,6.83
132,6.4,5.5,1,5.83
133,3.8,4.0,9,4.33
134,4.8,6.0,6,4.5
135,5.4,5.25,2,4.83
136,4.8,6.25,1,5.33
137,3.2,3.5,0,3.83
138,2.6,5.0,2,5.17
139,5.0,5.75,6,6.0
140,2.8,4.25,6,3.83
141,4.0,6.0,3,2.17
142,4.4,5.25,0,5.5
143,4.6,4.75,4,4.67
144,1.8,4.25,7,3.67
145,3.8,5.0,6,3.0
146,4.6,5.0,10,3.17
147,5.2,5.25,1,5.83
148,2.4,5.0,7,4.0
149,3.4,5.0,5,4.5
150,4.4,3.0,5,5.67
151,5.2,4.75,4,4.5
152,4.4,5.0,12,3.0
153,5.4,6.5,2,5.33
154,6.2,6.75,1,4.0
155,3.4,5.0,3,4.33
156,6.2,4.5,5,6.33
157,3.6,5.75,5,4.5
158,5.8,5.25,6,4.67
159,4.4,5.75,7,7.0
160,4.6,4.0,6,3.83
161,3.4,4.75,3,4.67
162,6.0,4.5,9,4.83
163,5.4,3.25,9,4.17
164,4.8,5.5,1,4.33
165,5.2,5.25,11,5.67
166,5.2,5.25,13,3.67
167,2.8,3.0,7,4.5
168,5.4,6.75,2,7.0
169,4.8,6.5,7,4.83
170,5.0,7.0,2,5.0
171,4.0,5.0,6,4.83
172,4.2,5.0,6,4.5
173,5.4,6.25,0,5.83
174,5.4,5.25,2,5.83
175,5.4,5.0,12,5.5
176,4.0,4.25,4,5.67
177,5.2,3.75,4,6.17
178,4.6,4.0,11,4.0
179,3.6,3.75,10,2.17
180,4.4,6.0,6,5.67
181,5.2,5.25,2,5.33
182,5.4,5.5,9,3.33
183,4.6,4.0,9,4.5
184,5.8,3.75,4,5.67
185,5.2,4.75,6,5.0
186,4.6,5.5,7,3.17
187,5.8,4.25,10,4.67
188,4.4,6.0,1,5.0
189,2.8,3.0,7,3.83
190,4.4,5.5,11,6.83
191,3.0,3.25,9,4.0
192,4.8,4.75,9,4.5
193,3.4,3.5,8,5.0
194,5.2,4.0,4,4.17
195,4.2,4.25,2,5.0
196,4.8,4.5,5,2.67
197,4.6,5.0,7,4.33
198,5.0,6.0,6,3.83
199,3.8,4.0,0,4.33
200,3.8,3.0,9,2.33
201,4.0,4.5,4,4.33
202,4.2,4.25,7,4.0
203,6.0,5.25,9,5.0
204,4.8,5.0,3,3.67
205,5.0,5.0,5,4.17
206,3.8,3.75,2,5.0
207,5.6,4.0,4,5.5
208,4.0,3.25,4,4.17
209,6.0,5.25,8,5.5
210,3.4,4.75,1,3.83
211,1.4,3.25,6,3.83
212,5.0,5.75,5,7.0
213,4.8,4.0,4,4.67
214,5.8,4.75,12,5.67
215,3.6,4.25,3,3.67
216,5.0,4.0,3,4.67
217,5.4,5.0,0,4.5
218,4.4,4.25,10,4.5
219,2.4,4.0,9,3.33
220,3.4,3.25,11,3.17
221,3.2,3.5,9,4.0
222,6.2,4.25,4,4.67
223,5.6,4.75,7,5.33
224,4.6,5.25,2,4.33
225,4.8,6.25,3,4.83
226,7.0,5.0,2,4.67
227,6.0,5.0,7,3.83
228,3.8,4.5,7,6.0
229,5.8,4.25,2,4.5
230,6.8,6.0,0,7.0
231,5.2,4.75,6,5.33
232,5.2,5.5,7,4.5
233,5.6,7.0,0,5.33
234,5.4,4.25,8,4.17
235,5.0,4.25,5,5.33
236,4.6,5.5,3,4.67
237,5.2,6.0,2,5.67
238,2.8,4.0,2,3.0
239,4.4,5.25,0,4.0
240,6.4,6.5,0,3.83
241,3.4,5.0,9,4.67
242,4.2,5.25,0,4.67
243,4.4,4.25,5,3.33
244,3.8,5.25,6,4.5
245,4.2,5.25,5,5.0
246,5.4,5.0,6,3.33
247,5.2,5.25,8,4.33
248,3.8,4.5,5,3.83
249,4.4,4.0,5,6.5
250,4.0,5.0,9,3.5
251,4.2,5.0,2,4.83
252,4.4,2.75,7,3.17
253,3.6,4.75,10,4.17
254,5.8,4.75,1,3.33
255,7.0,5.75,8,4.83
256,6.2,4.5,3,4.67
257,4.0,3.0,3,5.17
258,6.2,4.75,4,6.0
259,4.6,5.25,2,5.0
260,2.0,3.75,6,4.5
261,5.4,5.0,7,4.33
262,5.6,4.25,1,4.67
263,6.0,3.5,4,6.33
264,5.2,4.25,8,5.33
265,5.8,6.5,6,3.67
266,6.0,6.0,2,6.83
267,5.4,4.5,16,3.67
268,4.0,2.75,9,2.67
269,3.2,4.75,9,4.5
270,3.6,5.0,5,3.0
271,6.0,6.25,7,5.83
272,4.2,5.5,5,4.33
273,4.6,6.25,5,4.0
274,5.6,4.25,0,5.17
275,5.0,4.75,0,3.83
276,4.8,5.75,12,2.83
277,4.0,4.75,5,3.0
278,3.8,5.75,9,4.33
279,3.2,4.0,7,3.17
280,5.4,5.0,4,5.33
281,4.8,4.25,3,5.33
282,5.8,6.75,0,6.33
283,3.2,3.0,10,2.33
284,7.0,5.75,2,6.33
285,4.8,4.5,3,4.67
286,3.0,4.25,1,6.33
287,4.8,4.25,0,5.17
288,4.0,3.5,4,3.83
289,6.2,5.25,3,4.67
290,4.0,4.75,8,3.83
291,2.2,4.25,0,3.17
292,3.0,3.0,13,1.67
293,6.6,5.25,8,5.0
294,5.4,5.75,11,3.17
295,4.4,4.75,7,4.83
296,5.6,5.25,0,4.33
297,3.2,4.5,4,4.0
298,5.0,4.5,10,5.17
299,2.4,3.5,7,3.17
300,4.6,3.5,5,4.17
301,4.0,3.25,7,4.33
302,4.2,4.25,9,6.83
303,5.8,4.25,4,6.0
304,5.0,4.25,11,4.5
305,3.4,5.25,8,3.33
306,6.6,5.25,1,4.67
307,5.6,3.75,2,4.17
308,5.8,5.0,1,4.5
309,4.2,3.75,7,3.83
310,4.0,4.25,8,3.33
311,4.0,3.5,3,3.67
312,3.8,5.75,10,3.83
313,3.8,6.0,9,3.0
314,5.0,4.25,10,5.0
315,5.4,4.5,4,5.0
316,4.2,4.0,5,4.33
317,3.6,4.25,13,3.0
318,4.8,2.75,7,5.83
319,3.2,3.25,7,4.33
320,3.4,5.75,8,4.67
321,4.0,4.75,9,5.33
322,5.0,4.5,6,5.33
323,5.4,5.0,7,4.83
324,4.2,4.5,5,4.33
325,4.6,4.5,6,4.33
326,4.2,4.25,1,5.17
327,3.2,3.75,3,3.67
328,4.4,4.0,0,4.5
329,4.8,6.25,1,5.0
330,4.8,6.0,5,4.83
331,6.2,4.75,3,4.67
332,3.2,3.5,3,5.17
333,6.0,3.75,7,3.17
334,6.0,6.0,8,5.5
335,3.2,4.75,10,2.33
336,4.6,3.75,7,4.83
337,6.4,5.0,0,5.83
338,3.4,4.5,7,6.0
339,6.4,4.5,8,3.33
340,4.0,6.5,11,3.0
341,4.6,4.25,5,5.0
342,4.4,4.0,3,4.17
343,4.6,5.0,7,4.33
344,2.6,4.25,4,3.83
345,4.4,4.75,6,6.0
346,2.0,3.75,4,3.83
347,4.8,6.25,7,4.17
348,4.4,5.0,6,5.5
349,4.4,4.25,8,5.0
350,5.4,4.0,11,3.17
351,6.2,6.25,3,3.17
352,5.6,6.0,3,6.67
353,4.2,6.25,5,5.0
354,6.2,4.25,0,7.0
355,3.0,4.25,6,4.0
356,2.8,5.25,9,3.17
357,4.0,4.5,3,4.33
358,4.8,6.5,7,2.33
359,5.6,4.0,3,4.67
360,3.8,4.5,6,4.0
361,4.4,4.75,8,4.67
362,5.0,5.5,5,4.83
363,3.8,3.5,5,4.5
364,3.2,4.75,2,4.0
365,7.0,7.0,0,5.5
366,4.0,5.25,1,6.0
367,4.4,4.25,8,3.83
368,3.4,3.0,10,3.67
369,2.6,6.5,2,5.67
370,5.0,6.75,3,3.83
371,3.2,5.0,4,4.17
372,4.8,4.25,7,4.67
373,2.2,5.0,11,2.33
374,4.0,4.75,0,5.83
375,4.2,3.5,5,4.0
376,7.0,5.75,0,6.33
377,2.2,4.75,8,5.5
378,5.8,3.5,2,4.83
379,4.8,5.5,5,5.17
380,4.0,4.75,0,3.0
381,4.8,4.5,1,3.33
382,3.4,5.0,4,3.83
383,4.2,4.75,10,5.5
384,5.2,3.5,5,3.0
385,4.4,5.25,6,4.0
386,5.4,5.0,10,5.5
387,4.6,3.75,13,5.67
388,4.4,3.0,4,5.33
389,5.0,3.75,5,4.17
390,4.6,4.5,3,3.17
391,5.2,5.0,4,5.83
392,3.8,5.0,3,5.0
393,4.0,5.25,1,4.33
394,5.4,6.0,8,4.5
395,3.6,3.5,8,3.83
396,4.2,4.5,12,3.83
397,5.0,7.0,9,5.17
398,5.6,5.25,7,4.67
399,4.6,4.25,3,5.17
400,3.8,5.25,5,6.33
401,4.0,4.75,6,4.67
402,4.6,5.0,1,6.83
403,4.4,3.75,6,6.0
404,4.0,4.75,8,4.5
405,3.4,5.25,15,3.0
406,7.0,5.25,0,6.67
407,2.6,3.75,2,3.17
408,3.8,5.0,4,3.83
409,3.4,5.5,4,4.67
410,3.0,3.0,5,4.33
411,6.4,7.0,0,5.83
412,5.8,5.75,7,3.67
413,3.4,3.75,7,4.17
414,3.6,3.5,9,3.5
415,4.6,4.5,1,5.5
416,3.8,5.0,11,4.17
417,3.8,4.75,7,4.67
418,2.4,5.5,8,4.33
419,3.6,5.25,1,2.83
420,2.4,3.5,2,2.67
